gene	uniprot	locus_tag	organism	refseq_genome	ss_type	sys_instance_id	evidence_level	primary_ref	family	length	proteome
aprA	Q1ID47	PSEEN1550	Pseudomonas entomophila (strain L48)	CT573326	T1SS	PSEEN1552	validated	10.1111/j.1365-2958.1992.tb01471.x	AprA (Pseudomonas alkaline protease)	485	UP000000658
apxIA	P55128		Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)		T1SS		validated	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1023	
apxIIA	P15377		Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)		T1SS		validated	10.1128/iai.61.5.2056-2063.1993	ApxIIA (A. pleuropneumoniae RTX-II)	956	
apxIIIA	P55131		Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)		T1SS		validated	10.1128/iai.61.5.2056-2063.1993	ApxIIIA (A. pleuropneumoniae RTX-III)	1052	
cya	Q57506	BB0324	Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus)	BX470250	T1SS	BB0325	validated	10.1002/j.1460-2075.1988.tb03249.x	CyaA (Bordetella adenylate cyclase toxin)	1706	UP000001027
cya	P0DKX7	BP0760	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	BX470248	T1SS	BP0761	validated	10.1002/j.1460-2075.1988.tb03249.x	CyaA (Bordetella adenylate cyclase toxin)	1706	UP000002676
frpC	Q9JYV5	NMB1415	Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58)	AE002098	T1SS		validated	10.3390/toxins9100327	FrpC (Neisseria iron-regulated RTX)	1829	UP000000425
hasA	Q54450		Serratia marcescens		T1SS		validated	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	188	
hlyA	P08715		Escherichia coli		T1SS		validated	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1024	
ltxA	P16462		Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans) (Haemophilus actinomycetemcomitans)		T1SS		validated	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	1055	
lktA	P55117		Bibersteinia trehalosi (Pasteurella trehalosi)		T1SS		validated	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	955	
lktA	Q9ETX2		Mannheimia glucosida		T1SS		validated	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	953	
lktA	P0C082		Mannheimia haemolytica (Pasteurella haemolytica)		T1SS		validated	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	954	
lktA	P55123		Pasteurella haemolytica-like sp. (strain 5943B)		T1SS		validated	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	947	
rsaA	P35828	CC_1007	Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15) (Caulobacter crescentus)	AE005673	T1SS		validated	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	1026	UP000001816
rtxA	A1YKW7		Kingella kingae		T1SS		validated	10.1128/JB.186.20.6985-6991.2004	RtxA (Kingella kingae)	956	
prtB	P16316		Dickeya chrysanthemi (Pectobacterium chrysanthemi) (Erwinia chrysanthemi)		T1SS		validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	481	
prtC	P16317		Dickeya chrysanthemi (Pectobacterium chrysanthemi) (Erwinia chrysanthemi)		T1SS		validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	479	
prtG	Q07162		Dickeya chrysanthemi (Pectobacterium chrysanthemi) (Erwinia chrysanthemi)		T1SS		validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	475	
prtA	Q07295		Dickeya chrysanthemi (Pectobacterium chrysanthemi) (Erwinia chrysanthemi)		T1SS		validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	472	
prtA	Q7N8R3	plu0655	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii)	BX470251	T1SS	plu0659	validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	480	UP000002514
prtA1	Q84F70	prtA1	Photorhabdus luminescens (Xenorhabdus luminescens)		T1SS		validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	486	
prtA	P82115		Photorhabdus sp. (strain Az29)		T1SS		validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	483	
zapA	Q11137		Proteus mirabilis		T1SS		validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	491	
aprA	Q03023	PA1249	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	AE004091	T1SS		validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	479	UP000002438
Serralysin	P23694		Serratia marcescens		T1SS		validated	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	487	
aprA	D2TWN0	QE258_18045	Arsenophonus nasoniae (son-killer infecting Nasonia vitripennis)	CP038613	T1SS		predicted	10.1111/j.1365-2958.1992.tb01471.x	AprA (Pseudomonas alkaline protease)	189	UP000295134
aprA	A0AB33WPJ2	PchlO6_3385	Pseudomonas chlororaphis O6	CM001490	T1SS	PchlO6_3383	predicted	10.1111/j.1365-2958.1992.tb01471.x	AprA (Pseudomonas alkaline protease)	482	UP000003790
aprA	Q4KBR8	PFL_3210	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	CP000076	T1SS	PFL_3208	predicted	10.1111/j.1365-2958.1992.tb01471.x	AprA (Pseudomonas alkaline protease)	482	UP000008540
aprA	A0A449IM90	NCTC10754_03170	Pseudomonas fragi	CAACYJ010000000	T1SS	NCTC10754_03168	predicted	10.1111/j.1365-2958.1992.tb01471.x	AprA (Pseudomonas alkaline protease)	480	UP000330809
aprA	A0ABP7RHW6	GCM10022211_04110	Sphingomonas humi	BAAAZD010000000	T1SS		predicted	10.1111/j.1365-2958.1992.tb01471.x	AprA (Pseudomonas alkaline protease)	527	UP001501310
aprA	A0ABP7UDD8	GCM10022281_22440	Sphingomonas rosea	BAABBR010000000	T1SS		predicted	10.1111/j.1365-2958.1992.tb01471.x	AprA (Pseudomonas alkaline protease)	528	UP001424459
aprA	A0ABP7SU96	GCM10022280_14390	Sphingomonas swuensis	BAABBQ010000000	T1SS		predicted	10.1111/j.1365-2958.1992.tb01471.x	AprA (Pseudomonas alkaline protease)	521	UP001500235
aprA	A0ABY3ZQX6	DSM109990_03453	Sulfitobacter dubius	CP085144	T1SS		predicted	10.1111/j.1365-2958.1992.tb01471.x	AprA (Pseudomonas alkaline protease)	601	UP000831019
apxIA	A0A446CKQ2	AGI3411_03503	Achromobacter agilis	UFQB01000000	T1SS	AGI3411_05638	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1260	UP000289184
apxIA	A0ABT1WUZ9	LZL92_08145	Actinobacillus suis	JAJUPA010000000	T1SS	LZL92_08150	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1022	UP001206331
apxIA	A0A5B9WGM6	OJF2_77730	Aquisphaera giovannonii	CP042997	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	2926	UP000324233
apxIA	D2TYU2	ArsFIN_24750	Arsenophonus nasoniae (son-killer infecting Nasonia vitripennis)	CP038613	T1SS	QE258_05025	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1830	UP000295134
apxIA	A0A0H5BBN0	BVIRIDIS_21420	Blastochloris viridis (Rhodopseudomonas viridis)	LN907867	T1SS	BVIRIDIS_21380	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	963	UP000065734
apxIA	A0A379IY01	NCTC10899_03991	Ectopseudomonas mendocina (Pseudomonas mendocina)	UGUU01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	4627	UP000254260
apxIA	A0A517VSE1	V144x_13750	Gimesia aquarii	CP037920	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1164	UP000318704
apxIA	A0A377QA79	NCTC11159_02915	Iodobacter fluviatilis	UGHR01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	4030	UP000255108
apxIA	A0A0M6YIH8	JDO7802_01489	Jannaschia donghaensis	CXSU01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1151	UP000049222
apxIA	A0A1W6K6V5	MARSALSMR5_01037	Marinobacter salarius	CP020931	T1SS	MARSALSMR5_01039	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	3888	UP000193100
apxIA	A0A1C3JVB9	MGA5115_03319	Marinomonas gallaica	FLRA01000000	T1SS	MGA5116_02910	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1374	UP000092871
