gene	uniprot	locus_tag	ss_type	evidence	primary_ref
SidE	Q5ZYX7	lpg0234	T4SS	validated	10.1038/nature17657
SdeA	Q5ZTK4	lpg2157	T4SS	validated	10.1038/nature17657
SdeB	Q5ZTK5	lpg2156	T4SS	validated	10.1038/nature17657
SdeC	Q5ZTK7	lpg2153	T4SS	validated	10.1038/nature17657
SidJ	Q5ZTK6	lpg2155	T4SS	validated	10.1126/science.aax1898
LubX	Q5ZRQ0	lpg2830	T4SS	validated	10.1371/journal.ppat.1000704
AnkX	Q5ZXN6	lpg0695	T4SS	validated	10.1126/science.1216167
DrrA_SidM	Q5ZSQ3	lpg2464	T4SS	validated	10.1038/nature05675
RavZ	Q5ZUV9	lpg1683	T4SS	validated	10.1126/science.1227026
LepA	Q5ZSV9	lpg2793	T4SS	validated	10.1073/pnas.0407016101
LepB	Q5ZSW0	lpg2490	T4SS	validated	10.1038/nature11933
RalF	Q5ZXQ7	lpg1950	T4SS	validated	10.1126/science.1067025
SidC	Q5ZUS4	lpg2622	T4SS	validated	10.1371/journal.ppat.1000022
SidF	Q5ZWZ8	lpg2584	T4SS	validated	10.1371/journal.ppat.1000501
SidG	Q5ZW43	lpg1355	T4SS	validated	10.1371/journal.ppat.1000508
SetA	Q5ZUC5	lpg1978	T4SS	validated	10.1111/j.1462-5822.2008.01147.x
LegK1	Q5ZW70	lpg1483	T4SS	validated	10.1073/pnas.0902068106
LegK2	Q5ZSY7	lpg2137	T4SS	validated	10.1371/journal.ppat.1003598
LegK4	Q5ZYP6	lpg0208	T4SS	validated	10.15252/embr.202050121
LegK7	Q5ZUM9	lpg1924	T4SS	validated	10.1016/j.molcel.2018.05.012
SidA	Q5ZUC6	lpg1977	T4SS	validated	10.1038/nature13238
SidH	Q5ZW48	lpg1062	T4SS	validated	10.1371/journal.ppat.1000508
SidK	Q5ZWP3	lpg0968	T4SS	validated	10.1038/ncb1798
VipA	Q5ZSI0	lpg0390	T4SS	validated	10.1073/pnas.0900012106
VipD	Q5ZS69	lpg2831	T4SS	validated	10.1038/ncomms3823
VipF	-	lpg0103	T4SS	validated	10.1073/pnas.0900012106
LidA	Q5ZSL3	lpg0940	T4SS	validated	10.1126/science.1158333
SdhA	Q5ZYC3	lpg0376	T4SS	validated	10.1371/journal.ppat.1000278
SdcA	Q5ZUS6	lpg2511	T4SS	validated	10.1371/journal.ppat.1000022
MavC	Q5ZSU7	lpg2147	T4SS	validated	10.1038/s41586-019-1148-9
MavN	Q5ZWA5	lpg2815	T4SS	validated	10.1073/pnas.1511389112
SidP	Q5ZTC0	lpg0130	T4SS	validated	10.1038/nsmb.2540
Lgt1	Q5ZVF1	lpg1368	T4SS	validated	10.1126/science.1166382
Lgt2_LegC8	Q5ZRV1	lpg2862	T4SS	validated	10.1126/science.1166382
PieE	Q5ZSE0	lpg1969	T4SS	validated	10.1371/journal.ppat.1001216
PlaA	Q5ZSU5	lpg2317	T4SS	validated	10.1099/mic.0.041517-0
Ceg9	Q5ZSL4	lpg0246	T4SS	validated	10.1073/pnas.0900012106
SdmB_Lpg2603	-	lpg2603	T4SS	validated	10.1038/s41586-020-2461-z
LotA_Lem21	Q5ZSP3	lpg2248	T4SS	validated	10.1016/j.chom.2020.05.007
LotB_Ceg23	Q5ZUR2	lpg1621	T4SS	validated	10.1016/j.chom.2020.05.007
LotC_Lem27	Q5ZRR5	lpg2529	T4SS	validated	10.1016/j.chom.2020.05.007
MavQ	Q5ZS01	lpg2975	T4SS	validated	10.1038/s41467-021-25278-z
MitF_LegG1	Q5ZSU2	lpg1976	T4SS	validated	10.1073/pnas.1218771110
