gene	uniprot	locus_tag	ss_type	evidence	primary_ref
ExoS	G3XDA1	PA3841	T3SS	validated	10.1128/iai.65.2.579-586.1997
ExoT	Q9I788	PA0044	T3SS	validated	10.1128/iai.65.2.579-586.1997
ExoY	Q9I1S4	PA2191	T3SS	validated	10.1073/pnas.95.23.13899
Tse1	Q9I2Q1	PA1844	T6SS_H1	validated	10.1038/nature10244
Tse2	Q9I0E0	PA2702	T6SS_H1	validated	10.1038/nature10244
Tse3	Q9HYC5	PA3484	T6SS_H1	validated	10.1038/nature10244
Tse4	Q9I069	PA2774	T6SS_H1	validated	10.1371/journal.ppat.1005735
Tse5_RhsP1	Q9I0F4	PA2684	T6SS_H1	validated	10.1073/pnas.1814181115
Tse6	Q9I739	PA0093	T6SS_H1	validated	10.1038/nsmb.3025
Tse7	Q9I733	PA0099	T6SS_H1	validated	10.1073/pnas.1814181115
VgrG1a	Q9I741	PA0091	T6SS_H1	validated	10.1126/science.1128393
VgrG1b	Q9I737	PA0095	T6SS_H1	validated	10.1073/pnas.1814181115
VgrG1c	-	PA2685	T6SS_H1	validated	10.1073/pnas.1814181115
PldA_Tle5a	Q9HYC2	PA3487	T6SS_H2	validated	10.1016/j.chom.2014.07.004
Tle1	-	PA3290	T6SS_H2	validated	10.1038/nature11600
Tle3	Q9I6M9	PA0260	T6SS_H2	validated	10.1038/nature11600
Tle4	-	PA1510	T6SS_H2	validated	10.1038/nature11600
VgrG2a	-	PA1511	T6SS_H2	validated	10.3389/fcimb.2016.00061
VgrG2b	Q9I6M7	PA0262	T6SS_H2	validated	10.1126/scisignal.2004114
PldB_Tle5b	-	PA5089	T6SS_H3	validated	10.1016/j.chom.2014.07.004
TseF	-	PA2374	T6SS_H3	validated	10.1038/nmicrobiol.2017.70
TseT	-	PA0820	T6SS_H1	validated	10.1126/sciadv.aav0024
TseV	-	PA0822	T6SS_H1	validated	10.1126/sciadv.aav0024
