gene	uniprot	locus_tag	ss_type	evidence	primary_ref
AnkA	Q83BH2	CBU0072	T4SS	validated	10.1371/journal.ppat.1000704
AnkB	Q83BG7	CBU0077	T4SS	validated	10.1111/j.1462-5822.2009.01323.x
AnkF	Q83AY1	CBU0447	T4SS	validated	10.3389/fcimb.2020.559915
AnkG	Q83AS5	CBU0781	T4SS	validated	10.1099/mic.0.27877-0
AnkH	Q83A38	CBU1213	T4SS	validated	10.1111/j.1462-5822.2009.01323.x
AnkI	Q83A35	CBU1217	T4SS	validated	10.1111/j.1462-5822.2009.01323.x
AnkJ	Q83A36	CBU1216	T4SS	validated	10.1111/j.1462-5822.2009.01323.x
AnkK	Q839U5	CBU1314	T4SS	validated	10.1111/j.1462-5822.2009.01323.x
CvpA	Q83A47	CBU1199	T4SS	validated	10.1371/journal.ppat.1004286
CvpB_Cig2	Q83BL2	CBU0021	T4SS	validated	10.1371/journal.ppat.1004286
CvpC	Q839A9	CBU1556	T4SS	validated	10.1128/IAI.02763-14
CvpD	Q838R6	CBU1818	T4SS	validated	10.1128/IAI.02763-14
CvpE	Q838M8	CBU1863	T4SS	validated	10.1128/IAI.02763-14
CvpF	-	CBU2007	T4SS	validated	10.1080/15548627.2018.1564434
CirA	-	CBU2007	T4SS	validated	10.1371/journal.ppat.1010660
CirB	-	CBU0041	T4SS	validated	10.1371/journal.ppat.1010660
CirC	-	CBU0937	T4SS	validated	10.1371/journal.pone.0188071
CaeA	-	CBU1524	T4SS	validated	10.1073/pnas.2110877119
CaeB	-	CBU1532	T4SS	validated	10.1111/cmi.13305
Cig57	Q83A04	CBU1751	T4SS	validated	10.1371/journal.ppat.1006101
CBU0080	Q83BH0	CBU0080	T4SS	validated	10.1371/journal.ppat.1002056
CBU0295	Q83B43	CBU0295	T4SS	validated	10.1371/journal.ppat.1002056
CBU0329	Q83B14	CBU0329	T4SS	validated	10.1371/journal.ppat.1002056
CBU0425	Q83B00	CBU0425	T4SS	validated	10.1371/journal.ppat.1002056
CBU0635	Q83AS2	CBU0635	T4SS	validated	10.1371/journal.ppat.1002056
CBU1107	Q83A52	CBU1107	T4SS	validated	10.1371/journal.ppat.1002056
CBU1108	Q83A53	CBU1108	T4SS	validated	10.1371/journal.ppat.1002056
CBU1525	-	CBU1525	T4SS	validated	10.1371/journal.ppat.1002056
CBU1543	-	CBU1543	T4SS	validated	10.1128/IAI.02763-14
CBU1676	-	CBU1676	T4SS	validated	10.1128/IAI.02763-14
CBU1776	-	CBU1776	T4SS	validated	10.1371/journal.ppat.1002056
CBU1819	-	CBU1819	T4SS	validated	10.1128/IAI.02763-14
CBU1823	-	CBU1823	T4SS	validated	10.1371/journal.ppat.1002056
CBU1825	-	CBU1825	T4SS	validated	10.1371/journal.ppat.1002056
CBU1963	-	CBU1963	T4SS	validated	10.1371/journal.ppat.1002056
CBU2052	-	CBU2052	T4SS	validated	10.1371/journal.ppat.1002056
CBU2056	-	CBU2056	T4SS	validated	10.1371/journal.ppat.1002056
CBU2059	-	CBU2059	T4SS	validated	10.1371/journal.ppat.1002056
CBU0534	-	CBU0534	T4SS	validated	10.1128/IAI.02763-14
CBU0885	-	CBU0885	T4SS	validated	10.1128/IAI.02763-14
EmcA	-	CBU1379	T4SS	validated	10.1073/pnas.2217602120
EmcB	-	CBU1314a	T4SS	validated	10.1073/pnas.2217602120
