# Expected subcellular localizations for secretion-system machinery components.
#
# Used by the per-system localization-correctness gate (required_fraction_correct):
# for each MacSyFinder-validated SS, the gate compares each component's
# DeepLocPro `predicted_localization` against the `acceptable_localizations`
# set below; the system is dropped when the fraction matching falls below
# the user's --required-fraction-correct threshold (default 0.8). Components
# whose DLP max_probability is below --dlp-confidence-threshold (default 0.8)
# are excluded from the denominator. The literature review behind this file
# is task #58a (2026-06-05); citations are primary structural / topology
# papers where possible.
#
# Schema (tab-separated):
#   ss_type                  TXSScan model name (matches ss_components.tsv ss_type col).
#   txsscan_gene_name        TXSScan v2.1 component name from the model XMLs at
#                              /home/teo/.macsyfinder/models/TXSScan/.
#   protein_alias            Common name(s) — informational only, not matched.
#   acceptable_localizations Pipe-separated set in DLP's exact 5-class vocab:
#                              "Cytoplasmic", "Cytoplasmic Membrane", "Periplasmic",
#                              "Outer Membrane", "Extracellular". A predicted
#                              localization is "correct" if it is a member of this set.
#                              An EMPTY value means "no defensible expected
#                              localization": the gate treats this component the
#                              same as a low-DLP-confidence call — excluded from
#                              both the numerator and denominator of fraction-correct.
#   citation_pmid            PubMed ID of the primary citation; empty if none.
#   citation_doi             DOI of the primary citation; empty if none.
#   notes                    One-line caveat or rationale, esp. for borderline cases.
#
# Localizations track what DLP would call from the static protein sequence
# (not lifecycle-dependent post-secretion compartments — e.g. T6SS Hcp/VgrG
# are listed as Cytoplasmic because DLP scores the pre-firing sequence,
# not the fired tube/spike).
#
# Comment lines start with '#'; the schema header is the first non-comment line.
ss_type	txsscan_gene_name	protein_alias	acceptable_localizations	citation_pmid	citation_doi	notes
T1SS	T1SS_abc	HlyB / PrtD	Cytoplasmic Membrane	36055198	10.1016/j.cell.2022.07.017	ABC transporter; integral IM, ~6 TM helices, cytoplasmic NBD
T1SS	T1SS_mfp	HlyD / PrtE	Cytoplasmic Membrane	9822594	10.1093/emboj/17.22.6487	IM-anchored by N-terminal TM; bulk of mass is periplasmic adaptor but DLP scores the TM
T1SS	T1SS_omf	TolC	Outer Membrane	10879525	10.1038/35016007	OM β-barrel + α-helical periplasmic tunnel; multi_system in TXSScan
T2SS	T2SS_gspE	GspE	Cytoplasmic	25092625	10.1016/j.jsb.2014.07.006	Soluble cytoplasmic ATPase; no TM helix; recruited to IM via GspL
T2SS	T2SS_gspF	GspF	Cytoplasmic Membrane	30767847	10.1128/ecosalplus.ESP-0034-2018	Polytopic IM (3 TMs), assembly platform
T2SS	T2SS_gspL	GspL	Cytoplasmic Membrane	15533433	10.1016/j.jmb.2004.09.062	Bitopic IM: large cytoplasmic N-domain + single TM + small periplasmic C-domain
T2SS	T2SS_gspM	GspM	Cytoplasmic Membrane	30767847	10.1128/ecosalplus.ESP-0034-2018	Bitopic IM, partners with GspL
T2SS	T2SS_gspC	GspC	Cytoplasmic Membrane	21931548	10.1371/journal.ppat.1002228	Bitopic IM (HR domain + TM); periplasmic C-domain contacts GspD N0
T2SS	T2SS_gspD	GspD	Outer Membrane	28067918	10.1038/nsmb.3350	15-mer OM secretin β-barrel; periplasmic N0-N3 ring
T2SS	T2SS_gspG	GspG	Cytoplasmic Membrane|Periplasmic	8096341	10.1073/pnas.90.6.2404	Major pseudopilin; class-III SP looks like TM to DLP on full-length prepilin
T2SS	T2SS_gspH	GspH	Cytoplasmic Membrane|Periplasmic	8096341	10.1073/pnas.90.6.2404	Minor pseudopilin, same routing as GspG
T2SS	T2SS_gspI	GspI	Cytoplasmic Membrane|Periplasmic	8096341	10.1073/pnas.90.6.2404	Minor pseudopilin
T2SS	T2SS_gspJ	GspJ	Cytoplasmic Membrane|Periplasmic	8096341	10.1073/pnas.90.6.2404	Minor pseudopilin
T2SS	T2SS_gspK	GspK	Cytoplasmic Membrane|Periplasmic	8096341	10.1073/pnas.90.6.2404	Largest minor pseudopilin; most likely Periplasmic call
T2SS	T2SS_gspN	GspN	Cytoplasmic Membrane	30767847	10.1128/ecosalplus.ESP-0034-2018	Bitopic IM accessory
T2SS	T2SS_gspO	GspO	Cytoplasmic Membrane	8096341	10.1073/pnas.90.6.2404	Polytopic IM aspartic protease (prepilin peptidase)
T3SS	T3SS_sctN	InvC / YscN / EscN	Cytoplasmic	28392566	10.1038/nrmicro.2017.20	Soluble hexameric ATPase peripherally tethered to IM by SctL stator
T3SS	T3SS_sctQ	SpaO / YscQ	Cytoplasmic	30242280	10.1038/s41467-018-06298-8	Sorting platform; cytoplasmic pods beneath C-ring
T3SS	T3SS_sctJ	PrgK / YscJ	Cytoplasmic Membrane	30242280	10.1038/s41467-018-06298-8	IM lipoprotein anchored to outer leaflet of IM
T3SS	T3SS_sctV	InvA / YscV	Cytoplasmic Membrane	33774138	10.1016/j.jsb.2021.107729	Polytopic IM (8 TMs) with large cytoplasmic C-terminal torus
T3SS	T3SS_sctR	SpaP / YscR	Cytoplasmic Membrane	28392566	10.1038/nrmicro.2017.20	Polytopic IM, export apparatus core
T3SS	T3SS_sctS	SpaQ / YscS	Cytoplasmic Membrane	28392566	10.1038/nrmicro.2017.20	Small polytopic IM (~88 aa); DLP may be low-confidence
T3SS	T3SS_sctT	SpaR / YscT	Cytoplasmic Membrane	28392566	10.1038/nrmicro.2017.20	Polytopic IM
T3SS	T3SS_sctU	SpaS / YscU	Cytoplasmic Membrane	28392566	10.1038/nrmicro.2017.20	Bipartite topology (N-term IM, C-term cytoplasmic autocleaved switch)
T3SS	T3SS_sctC	InvG / YscC	Outer Membrane	30242280	10.1038/s41467-018-06298-8	15-subunit OM secretin ring; requires pilotin SctG for assembly
pT4SSt	T4SS_t4cp1	VirD4	Cytoplasmic Membrane	15134575	10.2174/1381612043384817	Integral IM coupling factor; N-terminal TM anchor + cytoplasmic ATPase
pT4SSt	T4SS_virb4	VirB4	Cytoplasmic|Cytoplasmic Membrane	24670658	10.1038/nature13081	Hexamer-of-dimers at cytoplasmic face of IM; N-terminal TM segment; sequence is largely soluble
pT4SSt	T4SS_T_virB1	VirB1	Periplasmic	10852875	10.1128/JB.182.12.3437-3445.2000	Lytic transglycosylase; periplasmic. Cleaved VirB1* is extracellular but not what DLP sees on full-length
pT4SSt	T4SS_T_virB2	VirB2	Cytoplasmic Membrane|Extracellular	36513067	10.1016/j.str.2022.11.007	Major pilin: precursor is IM (DLP call), mature pilin is extracellular T-pilus
pT4SSt	T4SS_T_virB3	VirB3	Cytoplasmic Membrane	20348257	10.1128/JB.01331-09	2-TM IM with cytoplasmic N and C termini
