gene	uniprot	locus_tag	ss_type	evidence	primary_ref
SipA	P0CL52	STM2882	T3SS-1	validated	10.1128/iai.73.1.146-154.2005
SipB	Q56019	STM2885	T3SS-1	validated	10.1128/iai.73.1.146-154.2005
SipC	P0CL47	STM2884	T3SS-1	validated	10.1128/iai.73.1.146-154.2005
SipD	Q56026	STM2883	T3SS-1	validated	10.1073/pnas.0511093103
SopA	Q8ZNR3	STM2066	T3SS-1	validated	10.1046/j.1365-2958.2000.02103.x
SopB_SigD	O30916	STM1091	T3SS-1	validated	10.1128/iai.73.1.146-154.2005
SopD	P40722	STM2945	T3SS-1	validated	10.1128/iai.73.1.146-154.2005
SopE2	Q7CQD4	STM1855	T3SS-1	validated	10.1128/iai.73.1.146-154.2005
SptP	P74873	STM2878	T3SS-1	validated	10.1016/S0092-8674(00)80692-3
AvrA	Q8ZMI3	STM2865	T3SS-1	validated	10.1073/pnas.97.16.8814
SlrP	Q8ZQQ2	STM0800	T3SS-1_2	validated	10.1099/mic.0.27212-0
SspH1	-	STM_GIFSY-3	T3SS-1_2	validated	10.1126/science.1102610
InvJ_SpaN	P40613	STM2892	T3SS-1	validated	10.1046/j.1365-2958.1998.00997.x
SseA	O84944	STM1397	T3SS-2	validated	10.1016/j.chom.2017.07.009
SseB	Q7BVH7	STM1398	T3SS-2	validated	10.1016/j.chom.2017.07.009
SseC	O84947	STM1400	T3SS-2	validated	10.1016/j.chom.2017.07.009
SseD	Q9R803	STM1401	T3SS-2	validated	10.1016/j.chom.2017.07.009
SseE	H9L446	STM1402	T3SS-2	validated	10.1016/j.chom.2017.07.009
SseF	H9L407	STM1404	T3SS-2	validated	10.1016/j.chom.2017.07.009
SseG	H9L486	STM1405	T3SS-2	validated	10.1016/j.chom.2017.07.009
SseI_SrfH	Q8ZQ79	STM1051	T3SS-2	validated	10.1016/j.chom.2017.07.009
SseJ	Q9FD10	STM1631	T3SS-2	validated	10.1016/j.chom.2017.07.009
SseK1	Q9L9J3	STM4157	T3SS-2	validated	10.1038/nature11433
SseK2	Q8ZNP4	STM2137	T3SS-2	validated	10.1038/nature11433
SseK3	-	STM2137a	T3SS-2	validated	10.1038/nature11433
SseL	Q8ZNG2	STM2287	T3SS-2	validated	10.1016/j.chom.2017.07.009
SifA	Q56061	STM1224	T3SS-2	validated	10.1016/j.chom.2017.07.009
SifB	Q9KIB9	STM1602	T3SS-2	validated	10.1016/j.chom.2017.07.009
SopD2	Q8ZQC8	STM0972	T3SS-2	validated	10.1016/j.chom.2017.07.009
SteA	Q8ZPD7	STM1583	T3SS-2	validated	10.1016/j.chom.2017.07.009
SteB	Q8ZPA6	STM1629	T3SS-2	validated	10.1016/j.chom.2017.07.009
SteC	Q8ZP57	STM1698	T3SS-2	validated	10.1016/j.chom.2017.07.009
SteD	-	STM1630	T3SS-2	validated	10.1126/science.aaf3284
SteE	-	STM1554	T3SS-2	validated	10.1371/journal.ppat.1005484
PipB	Q8ZQ59	STM1088	T3SS-2	validated	10.1016/j.chom.2017.07.009
PipB2	Q8ZMM8	STM2780	T3SS-2	validated	10.1016/j.chom.2017.07.009
SspH2	P0CE12	STM2241	T3SS-2	validated	10.1016/j.chom.2017.07.009
CigR	H9L434	STM3762	T3SS-2	validated	10.1016/j.chom.2017.07.009
GogA	-	STM_GIFSY-1	T3SS-2	validated	10.1371/journal.ppat.1005484
GogB	Q8ZN18	STM2584	T3SS-2	validated	10.1371/journal.ppat.1005484
GtgA	-	STM_GIFSY-2	T3SS-1_2	validated	10.1371/journal.ppat.1005484
GtgE	-	STM_GIFSY-2	T3SS-1_2	validated	10.1073/pnas.1208140109
PipA	-	STM1087	T3SS-2	validated	10.1371/journal.pone.0248975
SpvB	H9L477	PSLT039	T3SS-2	validated	10.1111/j.1365-2958.2008.06262.x
SpvC	P0A2M9	PSLT038	T3SS-2	validated	10.1111/j.1365-2958.2008.06262.x
SpvD	H9L476	PSLT035	T3SS-2	validated	10.1111/j.1365-2958.2008.06262.x
